lesson_id,day_number,lesson_number,lesson_week,lesson_name,teacher_name,lesson_type,lesson_class,time_start,time_end,online,choice
30,1,5,2,Іноземна мова професійного спрямування-2,Ситайло Наталія Миколаївна,Прак,-,16:10:00,17:45:00,true,false
31,2,1,2,Методи дослідження матеріалів мікро- та наносистемної техніки,Малюта Сергій Васильович,Прак,-,08:30:00,10:05:00,true,true
32,2,2,2,Електроніка надвисоких частот,Малюта Сергій Васильович,Прак,-,10:25:00,12:00:00,true,true
33,2,3,2,Електроніка надвисоких частот,Татарчук Дмитро Дмитрович,Лек,-,12:20:00,13:55:00,true,true
34,2,4,2,Електроніка надвисоких частот,Татарчук Дмитро Дмитрович,Лек,-,14:15:00,15:50:00,true,true
35,2,5,2,Мікрохвильова техніка,Тимофєєв Володимир Іванович,Лаб,-,16:10:00,17:45:00,true,true
36,3,1,2,Конструювання електронних приладів і пристроїв,Мачулянський Олександр Вікторович,Лаб,-,08:30:00,10:05:00,true,true
37,3,2,2,Оптоелектроніка,Воронько А. О.,Лек,-,10:25:00,12:00:00,true,true
38,3,3,2,Оптоелектроніка,Воронько А. О.,Лек,-,12:20:00,13:55:00,true,true
39,3,4,2,Методи дослідження матеріалів мікро- та наносистемної техніки,Верцанова Олена Вікторівна,Лек,-,14:15:00,15:50:00,true,true
40,3,5,2,Методи дослідження матеріалів мікро- та наносистемної техніки,Верцанова Олена Вікторівна,Лек,-,16:10:00,17:45:00,true,true
41,4,1,2,Оптоелектроніка,Воронько А. О.,Лаб,-,08:30:00,10:05:00,true,true
42,4,1,2,Наноструктури в оптоелектроніці,Воронько А. О.,Лаб,-,10:25:00,12:00:00,true,true
43,4,3,2,Програмовані логічні інтегральні схеми,Діденко Юрій Вікторович,Лаб,-,12:20:00,13:55:00,true,true
44,4,4,2,Мікрохвильова техніка,Тимофєєв Володимир Іванович,Лек,-,14:15:00,15:50:00,true,true
45,4,5,2,Мікрохвильова техніка,Тимофєєв Володимир Іванович,Лек,-,16:10:00,17:45:00,true,true
46,5,1,2,Програмовані логічні інтегральні схеми,Діденко Юрій Вікторович,Лек,-,08:30:00,10:05:00,true,true
47,5,2,2,Програмовані логічні інтегральні схеми,Діденко Юрій Вікторович,Лек,-,10:25:00,12:00:00,true,true
48,5,3,2,Біомедичні сенсори,Коваль Вікторія Михайлівна,Лек,-,12:20:00,13:55:00,true,true
49,5,4,2,Біомедичні сенсори,Коваль Вікторія Михайлівна,Лек,-,14:15:00,15:50:00,true,true
50,5,5,2,Біомедичні сенсори,Коваль Вікторія Михайлівна,Лаб,-,16:10:00,17:45:00,true,true
